Year,G,AvgTime,%≤2:30,%≥3:30,Avg Tm Btwn PA,Avg Tm Btwn BIP,Pos.Pitcher %
2023,2226,2:39,30.5,0.4,2:08,3:13,0.56%
2022,2204,3:03,3.8,10.5,2:29,3:42,0.63%
2021,2089,3:10,2.5,18.7,2:33,3:52,0.41%
2020,720,3:07,2.9,15.6,2:31,3:51,0.40%
2019,2211,3:05,4.6,13.5,2:28,3:43,0.42%
2018,2210,3:00,6.9,8.9,2:25,3:37,0.31%
2017,2246,3:05,4.2,12.2,2:28,3:39,0.16%
2016,2236,3:00,6,8.3,2:25,3:32,0.13%
2015,2213,2:56,10.1,7.1,2:23,3:25,0.14%
2014,2194,3:02,5.5,11.1,2:28,3:33,0.10%
2013,2180,2:58,8.3,8.3,2:25,3:27,0.07%
2012,2231,2:55,9.9,5.8,2:22,3:24,0.06%
2011,2185,2:51,15.1,4.5,2:19,3:16,0.04%
2010,2203,2:50,17.1,4.1,2:17,3:14,0.05%
2009,2221,2:51,16,5,2:16,3:13,0.06%
2008,2217,2:50,16.5,3.6,2:16,3:10,0.02%
2007,2206,2:51,16,4.4,2:15,3:09,0.04%
2006,2235,2:48,19.6,3.3,2:13,3:04,
2005,2241,2:46,23.2,2.7,2:12,3:02,0.01%
2004,2205,2:47,20,2.1,2:12,3:04,0.06%
2003,2228,2:46,20.9,2,2:12,3:02,0.01%
2002,2217,2:52,14.9,4.1,2:17,3:11,0.02%
2001,2225,2:54,12.4,5.5,2:19,3:14,0.04%
2000,2220,2:57,9.4,8,2:19,3:14,0.05%
1999,2228,2:53,13.6,5.7,2:16,3:09,0.04%
1998,2220,2:47,20.8,3.4,2:13,3:06,0.02%